# P/bar, rho_313.2K/gcm-3, rho_392.9K/gcm-3, rho_472.4K/gcm-3
1.000000000000000000e+00	1.271669003625634176e+00	1.213058202255133056e+00	1.159645197861749688e+00
2.119191919191919027e+01	1.272655469186022570e+00	1.214175782059603304e+00	1.160953331179706449e+00
4.138383838383838054e+01	1.273637112190848741e+00	1.215286338425810575e+00	1.162251069804064230e+00
6.157575757575757081e+01	1.274613993869623485e+00	1.216389980451279884e+00	1.163538612709432485e+00
8.176767676767676107e+01	1.275586174219804914e+00	1.217486814544530116e+00	1.164816152848201058e+00
1.019595959595959584e+02	1.276553712040793043e+00	1.218576944515695315e+00	1.166083877399031410e+00
1.221515151515151416e+02	1.277516664966726445e+00	1.219660471663277734e+00	1.167341968002378438e+00
1.423434343434343248e+02	1.278475089498146255e+00	1.220737494857243588e+00	1.168590600983910210e+00
1.625353535353535221e+02	1.279429041032567493e+00	1.221808110618632037e+00	1.169829947566543016e+00
1.827272727272727195e+02	1.280378573894003891e+00	1.222872413195871921e+00	1.171060174071790749e+00
2.029191919191919169e+02	1.281323741361493518e+00	1.223930494637945010e+00	1.172281442111106520e+00
2.231111111111110858e+02	1.282264595696661846e+00	1.224982444864594289e+00	1.173493908767765603e+00
2.433030303030302832e+02	1.283201188170359552e+00	1.226028351733663646e+00	1.174697726769904804e+00
2.634949494949494806e+02	1.284133569088423021e+00	1.227068301105772141e+00	1.175893044655196507e+00
2.836868686868686495e+02	1.285061787816577539e+00	1.228102376906397009e+00	1.177080006927669453e+00
3.038787878787878753e+02	1.285985892804531350e+00	1.229130661185534157e+00	1.178258754207112347e+00
3.240707070707070443e+02	1.286905931609284792e+00	1.230153234175011656e+00	1.179429423371491703e+00
3.442626262626262132e+02	1.287821950917683811e+00	1.231170174343600987e+00	1.180592147692770100e+00
3.644545454545454390e+02	1.288733996568258267e+00	1.232181558450007985e+00	1.181747056966504283e+00
3.846464646464646080e+02	1.289642113572357918e+00	1.233187461593843848e+00	1.182894277635551772e+00
4.048383838383838338e+02	1.290546346134622047e+00	1.234187957264677005e+00	1.184033932908222786e+00
4.250303030303030027e+02	1.291446737672810929e+00	1.235183117389250240e+00	1.185166142871167061e+00
4.452222222222221717e+02	1.292343330837013360e+00	1.236173012376942326e+00	1.186291024597285304e+00
4.654141414141413975e+02	1.293236167528263314e+00	1.237157711163550777e+00	1.187408692248928199e+00
4.856060606060605664e+02	1.294125288916579075e+00	1.238137281253484323e+00	1.188519257176627431e+00
5.057979797979797354e+02	1.295010735458458573e+00	1.239111788760418831e+00	1.189622828013594980e+00
5.259898989898989612e+02	1.295892546913836929e+00	1.240081298446492397e+00	1.190719510766209854e+00
5.461818181818181301e+02	1.296770762362538187e+00	1.241045873760102891e+00	1.191809408900698752e+00
